Headword,In_GSL
the,Yes
first,Yes
words,Yes
of,Yes
general,Yes
service,Yes
list,Yes
able,Yes
about,Yes
above,Yes
accept,Yes
accord,Yes
account,Yes
across,Yes
act,Yes
actual,Yes
add,Yes
address,Yes
admit,Yes
adopt,Yes
advance,Yes
advantage,Yes
affair,Yes
afford,Yes
after,Yes
again,Yes
against,Yes
age,Yes
ago,Yes
agree,Yes
air,Yes
all,Yes
allow,Yes
almost,Yes
alone,Yes
along,Yes
already,Yes
also,Yes
although,Yes
always,Yes
among,Yes
amount,Yes
ancient,Yes
and,Yes
animal,Yes
another,Yes
answer,Yes
any,Yes
appear,Yes
apply,Yes
appoint,Yes
arise,Yes
arm,Yes
army,Yes
around,Yes
arrive,Yes
art,Yes
article,Yes
as,Yes
ask,Yes
association,Yes
at,Yes
attack,Yes
attempt,Yes
average,Yes
away,Yes
back,Yes
bad,Yes
ball,Yes
bank,Yes
bar,Yes
base,Yes
battle,Yes
be,Yes
bear,Yes
beauty,Yes
because,Yes
become,Yes
bed,Yes
before,Yes
begin,Yes
behind,Yes
being,Yes
believe,Yes
belong,Yes
below,Yes
beneath,Yes
beside,Yes
best,Yes
better,Yes
between,Yes
beyond,Yes
big,Yes
bill,Yes
bird,Yes
bit,Yes
black,Yes
blood,Yes
blow,Yes
blue,Yes
board,Yes
boat,Yes
body,Yes
book,Yes
born,Yes
both,Yes
box,Yes
boy,Yes
branch,Yes
bread,Yes
breadth,Yes
break,Yes
bridge,Yes
bright,Yes
bring,Yes
brother,Yes
build,Yes
burn,Yes
business,Yes
but,Yes
buy,Yes
by,Yes
call,Yes
can,Yes
capital,Yes
car,Yes
care,Yes
carry,Yes
case,Yes
catch,Yes
cause,Yes
centre,Yes
certain,Yes
chance,Yes
change,Yes
character,Yes
charge,Yes
chief,Yes
child,Yes
choose,Yes
church,Yes
circle,Yes
city,Yes
claim,Yes
class,Yes
clean,Yes
clear,Yes
clock,Yes
close,Yes
club,Yes
coast,Yes
cold,Yes
college,Yes
colour,Yes
come,Yes
command,Yes
common,Yes
company,Yes
compare,Yes
complete,Yes
concern,Yes
condition,Yes
connect,Yes
consider,Yes
contain,Yes
content,Yes
continue,Yes
control,Yes
corner,Yes
cost,Yes
could,Yes
council,Yes
count,Yes
country,Yes
course,Yes
court,Yes
cover,Yes
creature,Yes
cross,Yes
crowd,Yes
cry,Yes
current,Yes
custom,Yes
cut,Yes
dance,Yes
danger,Yes
dare,Yes
dark,Yes
date,Yes
daughter,Yes
day,Yes
dead,Yes
deal,Yes
decide,Yes
declare,Yes
deep,Yes
degree,Yes
deliver,Yes
demand,Yes
describe,Yes
desert,Yes
desire,Yes
destroy,Yes
detail,Yes
determine,Yes
develop,Yes
die,Yes
difference,Yes
difficult,Yes
direct,Yes
discover,Yes
disease,Yes
distance,Yes
distinguish,Yes
district,Yes
divide,Yes
do,Yes
doctor,Yes
dog,Yes
door,Yes
double,Yes
doubt,Yes
down,Yes
draw,Yes
dream,Yes
dress,Yes
drive,Yes
drop,Yes
dry,Yes
due,Yes
during,Yes
each,Yes
ear,Yes
early,Yes
earth,Yes
east,Yes
easy,Yes
eat,Yes
edge,Yes
effect,Yes
effort,Yes
either,Yes
else,Yes
employ,Yes
end,Yes
enemy,Yes
english,Yes
enjoy,Yes
enough,Yes
enter,Yes
entire,Yes
equal,Yes
escape,Yes
even,Yes
evening,Yes
event,Yes
ever,Yes
every,Yes
everywhere,Yes
evil,Yes
example,Yes
excellent,Yes
except,Yes
exchange,Yes
exercise,Yes
exist,Yes
expect,Yes
expense,Yes
experience,Yes
experiment,Yes
explain,Yes
express,Yes
extend,Yes
eye,Yes
face,Yes
fact,Yes
factory,Yes
fail,Yes
fair,Yes
faith,Yes
fall,Yes
familiar,Yes
family,Yes
famous,Yes
farm,Yes
fashion,Yes
fast,Yes
father,Yes
favourite,Yes
favour,Yes
fear,Yes
feed,Yes
feel,Yes
fellow,Yes
few,Yes
field,Yes
figure,Yes
fill,Yes
find,Yes
fine,Yes
finger,Yes
finish,Yes
fire,Yes
fish,Yes
fit,Yes
fix,Yes
floor,Yes
flower,Yes
follow,Yes
food,Yes
for,Yes
force,Yes
foreign,Yes
forget,Yes
form,Yes
former,Yes
forth,Yes
fortune,Yes
forward,Yes
free,Yes
friend,Yes
from,Yes
front,Yes
full,Yes
further,Yes
future,Yes
gain,Yes
game,Yes
garden,Yes
gate,Yes
gather,Yes
gentle,Yes
get,Yes
give,Yes
glad,Yes
glass,Yes
go,Yes
god,Yes
gold,Yes
good,Yes
great,Yes
green,Yes
ground,Yes
group,Yes
grow,Yes
guard,Yes
habit,Yes
half,Yes
hall,Yes
hand,Yes
handle,Yes
hang,Yes
